transaction_id,items
BREAD-3,"Cookies,Hot chocolate,Jam"
BREAD-5,"Bread,Coffee,Pastry"
BREAD-6,"Medialuna,Muffin,Pastry"
BREAD-7,"Coffee,Medialuna,Pastry,Tea"
BREAD-8,"Bread,Pastry"
BREAD-9,"Bread,Muffin"
BREAD-10,"Medialuna,Scandinavian"
BREAD-11,"Bread,Medialuna"
BREAD-12,"Coffee,Jam,Pastry,Tartine,Tea"
BREAD-13,"Basket,Bread,Coffee"
BREAD-14,"Bread,Medialuna,Pastry"
BREAD-15,"Mineral water,Scandinavian"
BREAD-16,"Bread,Coffee,Medialuna"
BREAD-19,"Bread,Farm House"
BREAD-20,"Bread,Medialuna"
BREAD-21,"Bread,Coffee,Medialuna"
BREAD-23,"Muffin,Scandinavian"
BREAD-28,"Bread,Coffee"
BREAD-29,"Bread,Jam"
BREAD-32,"Muffin,Scandinavian"
BREAD-34,"Coffee,Muffin"
BREAD-35,"Muffin,Scandinavian"
BREAD-36,"Bread,Tea"
BREAD-37,"Bread,Coffee"
BREAD-38,"Bread,Tea"
BREAD-40,"Coffee,Juice,Muffin,Tartine"
BREAD-42,"Bread,Tea"
BREAD-43,"Fudge,Scandinavian"
BREAD-44,"Coffee,Medialuna"
BREAD-45,"Coffee,Hot chocolate,Medialuna"
BREAD-47,"Bread,Ella's Kitchen Pouches,Jam,Juice,Muffin"
BREAD-49,"Coffee,Medialuna"
BREAD-50,"Bread,Victorian Sponge"
BREAD-55,"Coffee,Frittata,Hearty & Seasonal,Tea"
BREAD-56,"Coffee,Frittata"
BREAD-58,"Hot chocolate,Soup,Tea,Victorian Sponge"
BREAD-60,"Coffee,Cookies,Juice"
BREAD-62,"Coffee,Hearty & Seasonal,Pick and Mix Bowls,Smoothies"
BREAD-65,"Coffee,Mighty Protein,Tartine,Tea"
BREAD-66,"Frittata,Hearty & Seasonal,Mineral water"
BREAD-67,"Hearty & Seasonal,Mineral water,Muffin"
