transaction_id,items
GROCERY-00001,"citrus fruit,margarine,ready soups,semi-finished bread"
GROCERY-00002,"coffee,tropical fruit,yogurt"
GROCERY-00004,"cream cheese,meat spreads,pip fruit,yogurt"
GROCERY-00005,"condensed milk,long life bakery product,other vegetables,whole milk"
GROCERY-00006,"abrasive cleaner,butter,rice,whole milk,yogurt"
GROCERY-00008,"UHT-milk,bottled beer,liquor (appetizer),other vegetables,rolls/buns"
GROCERY-00010,"cereals,whole milk"
GROCERY-00011,"bottled water,chocolate,other vegetables,tropical fruit,white bread"
GROCERY-00012,"bottled water,butter,citrus fruit,curd,dishes,flour,tropical fruit,whole milk,yogurt"
GROCERY-00014,"frankfurter,rolls/buns,soda"
GROCERY-00015,"chicken,tropical fruit"
GROCERY-00016,"butter,fruit/vegetable juice,newspapers,sugar"
GROCERY-00022,"butter milk,pastry"
GROCERY-00024,"cream cheese,detergent,newspapers,processed cheese,tropical fruit"
GROCERY-00025,"bathroom cleaner,candy,flour,frozen dessert,other vegetables,rolls/buns,root vegetables,salty snack,sweet spreads,tropical fruit,waffles"
GROCERY-00026,"bottled water,canned beer"
GROCERY-00028,"chocolate,rolls/buns,sausage,soda"
GROCERY-00030,"brown bread,canned beer,fruit/vegetable juice,newspapers,shopping bags,soda"
GROCERY-00031,"beverages,bottled water,specialty bar,yogurt"
GROCERY-00032,"bottled water,hamburger meat,hygiene articles,napkins,other vegetables,rolls/buns,spices"
GROCERY-00033,"beverages,other vegetables,root vegetables,sugar,whole milk"
GROCERY-00034,"abrasive cleaner,artif. sweetener,berries,other vegetables,pork,soda,whipped/sour cream,whole milk"
GROCERY-00035,"beef,detergent,grapes"
GROCERY-00036,"pastry,soda"
GROCERY-00039,"dessert,other vegetables,root vegetables,whole milk"
GROCERY-00040,"citrus fruit,newspapers,zwieback"
GROCERY-00041,"canned beer,rolls/buns,sausage,shopping bags,soda,specialty bar"
GROCERY-00042,"brown bread,candy,cereals,coffee,domestic eggs,pastry,root vegetables,soda,sugar,tropical fruit,waffles,whole milk,yogurt"
GROCERY-00043,"berries,yogurt"
GROCERY-00045,"bottled water,butter milk,cream cheese,newspapers,rolls/buns,soda,spread cheese,yogurt"
GROCERY-00047,"bottled water,pastry"
GROCERY-00050,"UHT-milk,bottled water,butter,curd,hard cheese,long life bakery product,other vegetables,rolls/buns,root vegetables,whipped/sour cream"
GROCERY-00051,"cat food,newspapers,rolls/buns,sausage"
GROCERY-00053,"grapes,ham,other vegetables,whole milk"
GROCERY-00054,"baking powder,brown bread,curd,domestic eggs,fruit/vegetable juice,margarine,other vegetables,semi-finished bread,tropical fruit,turkey"
GROCERY-00055,"pickled vegetables,processed cheese,soda,whole milk,yogurt"
GROCERY-00056,"curd,pastry,whole milk,yogurt"
GROCERY-00057,"brown bread,canned beer,packaged fruit/vegetables"
GROCERY-00058,"bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,oil,rolls/buns"
GROCERY-00059,"beef,cat food,ham,ice cream,rolls/buns,whipped/sour cream"
GROCERY-00060,"pastry,rolls/buns,sugar"
GROCERY-00061,"canned fish,detergent,frozen vegetables,other vegetables,salty snack,seasonal products,whole milk"
GROCERY-00062,"pastry,sausage"
GROCERY-00063,"beef,sausage,whole milk"
GROCERY-00064,"brown bread,frankfurter,rolls/buns,sugar,tropical fruit"
GROCERY-00065,"pastry,rolls/buns,soda"
GROCERY-00067,"coffee,curd cheese"
GROCERY-00068,"newspapers,red/blush wine"
GROCERY-00069,"curd,sausage,whole milk"
GROCERY-00070,"berries,chocolate,frozen potato products,pickled vegetables,pip fruit,rolls/buns,tropical fruit,whole milk"
GROCERY-00072,"butter,candles,flower (seeds),margarine,specialty chocolate,specialty fat,whole milk"
GROCERY-00073,"citrus fruit,domestic eggs,frankfurter,newspapers,oil,sparkling wine,specialty chocolate,whole milk"
GROCERY-00074,"meat spreads,soda,whole milk"
GROCERY-00076,"other vegetables,rolls/buns,sugar,whole milk"
GROCERY-00077,"butter milk,citrus fruit,curd,pastry,whole milk"
GROCERY-00078,"bottled beer,bottled water,flour,fruit/vegetable juice,salt"
GROCERY-00079,"bottled beer,bottled water,soda,sugar"
GROCERY-00080,"coffee,frozen meals"
GROCERY-00082,"bathroom cleaner,canned vegetables,domestic eggs,frozen vegetables,fruit/vegetable juice,margarine,oil,rolls/buns,root vegetables,whole milk"
GROCERY-00083,"frozen vegetables,hard cheese,onions,root vegetables"
GROCERY-00084,"candles,condensed milk,frozen vegetables,herbs,oil,salt,white wine"
GROCERY-00086,"brandy,detergent,onions,rolls/buns,root vegetables,sausage,yogurt"
GROCERY-00087,"coffee,newspapers"
GROCERY-00088,"other vegetables,pork,whipped/sour cream"
GROCERY-00089,"berries,yogurt"
GROCERY-00092,"candles,fruit/vegetable juice,salty snack"
GROCERY-00093,"butter milk,citrus fruit,cream cheese,yogurt"
