transaction_id,items
MARKET-00001,"almonds,antioxydant juice,avocado,cottage cheese,energy drink,frozen smoothie,green grapes,green tea,honey,low fat yogurt,mineral water,olive oil,salad,salmon,shrimp,spinach,tomato juice,vegetables mix,whole weat flour,yams"
MARKET-00002,"burgers,eggs,meatballs"
MARKET-00004,"avocado,turkey"
MARKET-00005,"energy bar,green tea,milk,mineral water,whole wheat rice"
MARKET-00007,"french fries,whole wheat pasta"
MARKET-00008,"light cream,shallot,soup"
MARKET-00009,"frozen vegetables,green tea,spaghetti"
MARKET-00011,"eggs,pet food"
MARKET-00013,"burgers,cooking oil,eggs,mineral water,turkey"
MARKET-00014,"champagne,cookies,spaghetti"
MARKET-00015,"mineral water,salmon"
MARKET-00017,"chicken,chocolate,cooking oil,honey,low fat yogurt,oil,shrimp"
MARKET-00018,"eggs,turkey"
MARKET-00019,"black tea,chicken,eggs,extra dark chocolate,fresh tuna,mineral water,salmon,spaghetti,tomatoes,turkey"
MARKET-00020,"french fries,honey,meatballs,milk,protein bar"
MARKET-00021,"chocolate,eggs,pasta,pepper,red wine,shampoo,shrimp"
MARKET-00022,"rice,sparkling water"
MARKET-00023,"body spray,green tea,ham,mineral water,pancakes,spaghetti"
MARKET-00024,"avocado,burgers,grated cheese,honey,pasta,shrimp,toothpaste,white wine"
MARKET-00026,"avocado,fresh bread,milk,parmesan cheese,soup,spaghetti"
MARKET-00027,"black tea,energy bar,escalope,frozen smoothie,ground beef,milk,mineral water,salmon,spaghetti"
MARKET-00029,"chicken,chocolate,eggs,french fries,mineral water"
MARKET-00030,"frozen vegetables,mineral water,spaghetti,yams"
MARKET-00031,"herb & pepper,light cream,magazines,tomato sauce"
MARKET-00032,"avocado,chocolate,eggs,mineral water"
MARKET-00033,"french fries,strawberries,turkey"
MARKET-00034,"chocolate,frozen vegetables,strong cheese"
MARKET-00036,"escalope,pickles,salmon,spaghetti"
MARKET-00037,"energy bar,french fries"
MARKET-00038,"ground beef,mineral water,red wine"
MARKET-00039,"cake,cottage cheese,mineral water"
MARKET-00040,"champagne,green tea,pickles"
MARKET-00042,"escalope,fresh tuna,frozen smoothie,frozen vegetables,honey,mineral water,spaghetti,whole wheat rice"
MARKET-00044,"hot dogs,meatballs,soup,sparkling water"
MARKET-00046,"avocado,body spray,brownies,french fries,green tea,hot dogs,pancakes,soup"
MARKET-00047,"cereals,chicken,clothes accessories,mineral water"
MARKET-00048,"bug spray,mineral water"
MARKET-00049,"avocado,muffins"
MARKET-00050,"black tea,burgers,green tea"
MARKET-00051,"brownies,chocolate,green tea,spaghetti,white wine"
MARKET-00052,"eggs,fresh tuna,mineral water"
MARKET-00053,"muffins,spaghetti"
MARKET-00054,"chocolate,spaghetti"
MARKET-00055,"champagne,escalope,french fries"
MARKET-00056,"light mayo,tomato sauce"
MARKET-00057,"chocolate,fresh tuna,frozen vegetables,ground beef,milk,mineral water,olive oil,soup,spaghetti,tomatoes,turkey"
MARKET-00058,"cookies,eggs"
MARKET-00059,"body spray,chicken,energy drink,green tea,gums,soda,soup"
MARKET-00060,"cider,cooking oil,frozen vegetables,green tea,mineral water,turkey"
MARKET-00064,"bug spray,green tea,protein bar,shallot,soup"
MARKET-00065,"eggs,turkey"
MARKET-00067,"chocolate,milk"
MARKET-00068,"avocado,cider,ground beef,herb & pepper,mineral water,whole wheat pasta,whole wheat rice"
MARKET-00070,"pasta,shrimp"
MARKET-00071,"corn,grated cheese,herb & pepper,tomato sauce,tomatoes"
MARKET-00072,"burgers,escalope,shallot"
MARKET-00075,"eggs,soup"
MARKET-00077,"chocolate,low fat yogurt,mineral water"
