transaction_id,items
UCI-EIRE-536975,"BINGO SET,BLUE HARMONICA IN BOX,BREAD BIN DINER STYLE IVORY,BREAD BIN DINER STYLE RED,CHOCOLATE HOT WATER BOTTLE,REGENCY CAKESTAND 3 TIER,SET OF 20 VINTAGE CHRISTMAS NAPKINS,VINTAGE SNAKES & LADDERS"
UCI-EIRE-537378,"CARRIAGE,GREEN REGENCY TEACUP AND SAUCER,MINT KITCHEN SCALES,REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER"
UCI-EIRE-538009,"60 TEATIME FAIRY CAKE CASES,BREAD BIN DINER STYLE RED,CHOCOLATE HOT WATER BOTTLE,DOORMAT FANCY FONT HOME SWEET HOME,GINGERBREAD MAN COOKIE CUTTER,PACK OF 72 RETROSPOT CAKE CASES,PLEASE ONE PERSON METAL SIGN,RED HANGING HEART T-LIGHT HOLDER,REGENCY CAKESTAND 3 TIER,SET OF 3 BUTTERFLY COOKIE CUTTERS,SET/5 RED RETROSPOT LID GLASS BOWLS,SWEETHEART RECIPE BOOK STAND"
UCI-EIRE-538255,"COOK WITH WINE METAL SIGN,DOORMAT FANCY FONT HOME SWEET HOME,DOORMAT NEW ENGLAND,IVORY KITCHEN SCALES,LUNCH BAG RED RETROSPOT,PHOTO FRAME 3 CLASSIC HANGING,PLEASE ONE PERSON METAL SIGN,RED KITCHEN SCALES,REGENCY CAKESTAND 3 TIER,SET OF 20 VINTAGE CHRISTMAS NAPKINS,SWEETHEART RECIPE BOOK STAND"
UCI-EIRE-539320,"EDWARDIAN PARASOL NATURAL,SWEETHEART RECIPE BOOK STAND,WHITE HANGING HEART T-LIGHT HOLDER"
UCI-EIRE-539337,"BINGO SET,BREAD BIN DINER STYLE IVORY,CARRIAGE,HOMEMADE JAM SCENTED CANDLES,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,PACK OF 60 PINK PAISLEY CAKE CASES,RECIPE BOX PANTRY YELLOW DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,SET OF 6 SPICE TINS PANTRY DESIGN,VINTAGE SNAP CARDS"
UCI-EIRE-539421,"CARRIAGE,FAMILY ALBUM WHITE PICTURE FRAME,GINGERBREAD MAN COOKIE CUTTER,HOMEMADE JAM SCENTED CANDLES,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,REGENCY CAKESTAND 3 TIER"
UCI-EIRE-539473,"72 SWEETHEART FAIRY CAKE CASES,CARRIAGE,REGENCY CAKESTAND 3 TIER"
UCI-EIRE-539722,"60 TEATIME FAIRY CAKE CASES,BREAD BIN DINER STYLE IVORY,CHOCOLATE HOT WATER BOTTLE,FAMILY ALBUM WHITE PICTURE FRAME,JAM MAKING SET WITH JARS,JUMBO BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,RECIPE BOX PANTRY YELLOW DESIGN,RED HANGING HEART T-LIGHT HOLDER,REGENCY CAKESTAND 3 TIER,SET OF 3 CAKE TINS PANTRY DESIGN,SET/5 RED RETROSPOT LID GLASS BOWLS,WHITE HANGING HEART T-LIGHT HOLDER"
UCI-EIRE-539984,"4 TRADITIONAL SPINNING TOPS,BAKING SET 9 PIECE RETROSPOT,BINGO SET,CARRIAGE,HOLIDAY FUN LUDO,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,VINTAGE SNAKES & LADDERS,VINTAGE SNAP CARDS"
UCI-EIRE-540547,"CARRIAGE,PHOTO FRAME CORNICE"
