transaction_id,items
UCI-GERMANY-536840,"6 RIBBONS RUSTIC CHARM,JAM JAR WITH PINK LID,JAM MAKING SET PRINTED,PACK OF 72 RETROSPOT CAKE CASES"
UCI-GERMANY-536861,"6 RIBBONS RUSTIC CHARM,CHILDS BREAKFAST SET CIRCUS PARADE"
UCI-GERMANY-537197,"IVORY KITCHEN SCALES,JAM JAR WITH PINK LID,JAM MAKING SET PRINTED,MEMO BOARD COTTAGE DESIGN"
UCI-GERMANY-537201,"3 PIECE SPACEBOY COOKIE CUTTER SET,6 RIBBONS RUSTIC CHARM,BLUE HARMONICA IN BOX,CHILDRENS APRON APPLES DESIGN,CHILDS BREAKFAST SET CIRCUS PARADE,GUMBALL COAT RACK,JAM JAR WITH PINK LID,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,PLASTERS IN TIN CIRCUS PARADE,RED HARMONICA IN BOX,RED RETROSPOT CHARLOTTE BAG,RED RETROSPOT MINI CASES,REGENCY CAKESTAND 3 TIER,RETROSPOT PARTY BAG + STICKER SET,ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF4 WOODLAND,SCANDINAVIAN REDS RIBBONS,SET OF 2 TEA TOWELS APPLE AND PEARS,SPACEBOY LUNCH BOX,WOODLAND CHARLOTTE BAG"
UCI-GERMANY-537212,"FAWN BLUE HOT WATER BOTTLE,IVORY KITCHEN SCALES,JAM JAR WITH PINK LID,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,PLASTERS IN TIN WOODLAND ANIMALS,RED KITCHEN SCALES,RED RETROSPOT CUP,WOODLAND CHARLOTTE BAG"
UCI-GERMANY-537250,"BLUE POLKADOT CUP,GUMBALL COAT RACK,RED RETROSPOT CUP,RED RETROSPOT PLATE,ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF4 WOODLAND"
UCI-GERMANY-537594,"IVORY KITCHEN SCALES,RED TOADSTOOL LED NIGHT LIGHT"
UCI-GERMANY-537673,"GUMBALL COAT RACK,MINT KITCHEN SCALES,RED KITCHEN SCALES,SCANDINAVIAN REDS RIBBONS"
UCI-GERMANY-537892,"CHILDS BREAKFAST SET CIRCUS PARADE,PLASTERS IN TIN CIRCUS PARADE,ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF4 WOODLAND"
UCI-GERMANY-537894,"3 PIECE SPACEBOY COOKIE CUTTER SET,ALARM CLOCK BAKELIKE RED,PLASTERS IN TIN SPACEBOY,ROUND SNACK BOXES SET OF4 WOODLAND,WOODLAND PARTY BAG + STICKER SET"
UCI-GERMANY-537995,"FAWN BLUE HOT WATER BOTTLE,LUNCH BOX WITH CUTLERY RETROSPOT,STRAWBERRY LUNCH BOX WITH CUTLERY"
UCI-GERMANY-538174,"6 RIBBONS RUSTIC CHARM,ALARM CLOCK BAKELIKE PINK,PACK OF 20 NAPKINS PANTRY DESIGN,PACK OF 20 NAPKINS RED APPLES,PACK OF 72 RETROSPOT CAKE CASES,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN WOODLAND ANIMALS,RED KITCHEN SCALES,RED TOADSTOOL LED NIGHT LIGHT,REGENCY CAKESTAND 3 TIER,ROUND SNACK BOXES SET OF4 WOODLAND,SET OF 72 RETROSPOT PAPER DOILIES,STRAWBERRY CERAMIC TRINKET BOX,WOODLAND DESIGN COTTON TOTE BAG"
UCI-GERMANY-539395,"3 PIECE SPACEBOY COOKIE CUTTER SET,ALARM CLOCK BAKELIKE PINK,JAM JAR WITH PINK LID,JAM MAKING SET PRINTED,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN WOODLAND ANIMALS,RED KITCHEN SCALES,RED TOADSTOOL LED NIGHT LIGHT,REGENCY CAKESTAND 3 TIER,ROUND SNACK BOXES SET OF4 WOODLAND,WOODLAND DESIGN COTTON TOTE BAG"
UCI-GERMANY-539403,"MEMO BOARD COTTAGE DESIGN,RED KITCHEN SCALES"
UCI-GERMANY-539405,"6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN,CHILDS BREAKFAST SET CIRCUS PARADE,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,REGENCY CAKESTAND 3 TIER"
UCI-GERMANY-539408,"RED RETROSPOT CHARLOTTE BAG,SET OF 3 CAKE TINS PANTRY DESIGN"
UCI-GERMANY-539446,"FAWN BLUE HOT WATER BOTTLE,JUMBO BAG WOODLAND ANIMALS,RED TOADSTOOL LED NIGHT LIGHT,REGENCY CAKESTAND 3 TIER,ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF4 WOODLAND,STRAWBERRY CERAMIC TRINKET BOX"
UCI-GERMANY-539466,"PLASTERS IN TIN WOODLAND ANIMALS,RED TOADSTOOL LED NIGHT LIGHT,STRAWBERRY CERAMIC TRINKET BOX"
UCI-GERMANY-539636,"IVORY KITCHEN SCALES,JAM JAR WITH PINK LID,JAM MAKING SET PRINTED,MINT KITCHEN SCALES"
UCI-GERMANY-539946,"JUMBO BAG WOODLAND ANIMALS,RETROSPOT PARTY BAG + STICKER SET,ROUND SNACK BOXES SET OF4 WOODLAND,WOODLAND PARTY BAG + STICKER SET"
