transaction_id,items
UCI-UNITED-KINGDOM-536367,"ASSORTED COLOUR BIRD ORNAMENT,HOME BUILDING BLOCK WORD"
UCI-UNITED-KINGDOM-536373,"WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH"
UCI-UNITED-KINGDOM-536375,"WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH"
UCI-UNITED-KINGDOM-536376,"HOT WATER BOTTLE TEA AND SYMPATHY,RED HANGING HEART T-LIGHT HOLDER"
UCI-UNITED-KINGDOM-536378,"60 TEATIME FAIRY CAKE CASES,JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG PINK POLKADOT,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO STORAGE BAG SUKI,LUNCH BAG RED RETROSPOT,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,STRAWBERRY CHARLOTTE BAG"
UCI-UNITED-KINGDOM-536381,"COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,JUMBO SHOPPER VINTAGE RED PAISLEY,PAPER CHAIN KIT 50'S CHRISTMAS,RED TOADSTOOL LED NIGHT LIGHT,RETROSPOT TEA SET CERAMIC 11 PC"
UCI-UNITED-KINGDOM-536382,"ALARM CLOCK BAKELIKE GREEN,JUMBO SHOPPER VINTAGE RED PAISLEY,RECYCLING BAG RETROSPOT"
UCI-UNITED-KINGDOM-536384,"HEART OF WICKER LARGE,HEART OF WICKER SMALL,NATURAL SLATE HEART CHALKBOARD,WOOD BLACK BOARD ANT WHITE FINISH"
UCI-UNITED-KINGDOM-536385,"JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS"
UCI-UNITED-KINGDOM-536386,"JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT"
UCI-UNITED-KINGDOM-536387,"CHILLI LIGHTS,RED TOADSTOOL LED NIGHT LIGHT"
UCI-UNITED-KINGDOM-536388,"HEART OF WICKER SMALL,HOME BUILDING BLOCK WORD"
UCI-UNITED-KINGDOM-536390,"JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,JUMBO BAG RED RETROSPOT,PAPER CHAIN KIT VINTAGE CHRISTMAS,SET/20 RED RETROSPOT PAPER NAPKINS,WHITE HANGING HEART T-LIGHT HOLDER"
UCI-UNITED-KINGDOM-536394,"CLOTHES PEGS RETROSPOT PACK 24,HAND OVER THE CHOCOLATE SIGN,HAND WARMER OWL DESIGN,WHITE HANGING HEART T-LIGHT HOLDER"
UCI-UNITED-KINGDOM-536395,"60 TEATIME FAIRY CAKE CASES,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,ASSORTED COLOUR BIRD ORNAMENT,HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES"
UCI-UNITED-KINGDOM-536396,"WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH"
UCI-UNITED-KINGDOM-536398,"CHOCOLATE HOT WATER BOTTLE,HAND WARMER OWL DESIGN,HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY,SCOTTIE DOG HOT WATER BOTTLE,STRAWBERRY CERAMIC TRINKET BOX"
UCI-UNITED-KINGDOM-536401,"60 TEATIME FAIRY CAKE CASES,BATHROOM METAL SIGN,JAM MAKING SET PRINTED,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,WHITE HANGING HEART T-LIGHT HOLDER"
UCI-UNITED-KINGDOM-536402,"PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS"
UCI-UNITED-KINGDOM-536404,"HEART OF WICKER SMALL,LUNCH BAG BLACK SKULL.,LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,PACK OF 72 RETROSPOT CAKE CASES,SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS"
UCI-UNITED-KINGDOM-536406,"WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH"
UCI-UNITED-KINGDOM-536408,"ASSORTED COLOUR BIRD ORNAMENT,DOORMAT RED RETROSPOT,HOME BUILDING BLOCK WORD,HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,RED HANGING HEART T-LIGHT HOLDER,VICTORIAN GLASS HANGING T-LIGHT"
UCI-UNITED-KINGDOM-536409,"CHOCOLATE HOT WATER BOTTLE,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,SCOTTIE DOG HOT WATER BOTTLE,STRAWBERRY CHARLOTTE BAG"
UCI-UNITED-KINGDOM-536412,"6 RIBBONS RUSTIC CHARM,DOLLY GIRL LUNCH BOX,JAM MAKING SET PRINTED,LUNCH BAG BLACK SKULL.,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS,RED TOADSTOOL LED NIGHT LIGHT,REX CASH+CARRY JUMBO SHOPPER,SPACEBOY LUNCH BOX"
