transaction_id,items
UCI-FRANCE-536370,"ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,CHARLOTTE BAG DOLLY GIRL DESIGN,CIRCUS PARADE LUNCH BOX,LUNCH BOX I LOVE LONDON,MINI PAINT SET VINTAGE,RED TOADSTOOL LED NIGHT LIGHT,ROUND SNACK BOXES SET OF4 WOODLAND,SPACEBOY LUNCH BOX"
UCI-FRANCE-536974,"ASSORTED COLOUR MINI CASES,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,LUNCH BOX I LOVE LONDON,LUNCH BOX WITH CUTLERY RETROSPOT,POPPY'S PLAYHOUSE KITCHEN,RED HARMONICA IN BOX,RED RETROSPOT MINI CASES,TEA PARTY BIRTHDAY CARD"
UCI-FRANCE-537065,"ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,ASSORTED COLOUR MINI CASES,GUMBALL COAT RACK,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,LUNCH BOX WITH CUTLERY RETROSPOT,PARTY BUNTING,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,RED RETROSPOT MINI CASES,REGENCY CAKESTAND 3 TIER,ROUND SNACK BOXES SET OF4 WOODLAND,SET/10 RED POLKADOT PARTY CANDLES,STRAWBERRY LUNCH BOX WITH CUTLERY"
UCI-FRANCE-537463,"GUMBALL COAT RACK,JAM MAKING SET PRINTED,LUNCH BOX WITH CUTLERY RETROSPOT,PACK OF 20 NAPKINS RED APPLES,PACK OF 72 RETROSPOT CAKE CASES,PLASTERS IN TIN WOODLAND ANIMALS,RED RETROSPOT CHILDRENS UMBRELLA,RED RETROSPOT CUP,RED TOADSTOOL LED NIGHT LIGHT,ROUND SNACK BOXES SET OF4 WOODLAND,SET OF 2 TEA TOWELS APPLE AND PEARS,SET/10 RED POLKADOT PARTY CANDLES,STRAWBERRY LUNCH BOX WITH CUTLERY,TABLECLOTH RED APPLES DESIGN,TEA PARTY BIRTHDAY CARD,WOODLAND CHARLOTTE BAG"
UCI-FRANCE-537468,"LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,POPPY'S PLAYHOUSE KITCHEN"
UCI-FRANCE-537897,"CHARLOTTE BAG DOLLY GIRL DESIGN,RED TOADSTOOL LED NIGHT LIGHT"
UCI-FRANCE-538008,"CHILDREN'S APRON DOLLY GIRL,CIRCUS PARADE CHILDRENS EGG CUP,DOLLY GIRL LUNCH BOX,LUNCH BOX WITH CUTLERY RETROSPOT,PACK OF 20 NAPKINS RED APPLES,RED RETROSPOT CAKE STAND,RETROSPOT PARTY BAG + STICKER SET,SET OF 2 TEA TOWELS APPLE AND PEARS,SET OF 9 BLACK SKULL BALLOONS,SET OF 9 HEART SHAPED BALLOONS,SET/10 RED POLKADOT PARTY CANDLES,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,STRAWBERRY LUNCH BOX WITH CUTLERY,TABLECLOTH RED APPLES DESIGN"
UCI-FRANCE-538093,"4 TRADITIONAL SPINNING TOPS,ASSORTED COLOUR MINI CASES,JAM MAKING SET PRINTED,JUMBO BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,RED RETROSPOT MINI CASES,RED TOADSTOOL LED NIGHT LIGHT,SKULL LUNCH BOX WITH CUTLERY,STRAWBERRY LUNCH BOX WITH CUTLERY"
UCI-FRANCE-538196,"BLUE HARMONICA IN BOX,LUNCH BAG RED RETROSPOT,RED HARMONICA IN BOX,RED RETROSPOT CHILDRENS UMBRELLA"
UCI-FRANCE-539050,"CIRCUS PARADE LUNCH BOX,SET OF 9 HEART SHAPED BALLOONS"
UCI-FRANCE-539407,"BLUE HARMONICA IN BOX,MINI PAINT SET VINTAGE,RETROSPOT PARTY BAG + STICKER SET"
UCI-FRANCE-539435,"RED RETROSPOT MINI CASES,RED TOADSTOOL LED NIGHT LIGHT,ROUND SNACK BOXES SET OF4 WOODLAND"
UCI-FRANCE-539551,"LUNCH BAG WOODLAND,RED RETROSPOT CHILDRENS UMBRELLA,RED TOADSTOOL LED NIGHT LIGHT,RETROSPOT PARTY BAG + STICKER SET"
UCI-FRANCE-539607,"CHARLOTTE BAG PINK POLKADOT,CIRCUS PARADE CHILDRENS EGG CUP,COFFEE MUG APPLES DESIGN,JAM MAKING SET PRINTED,LUNCH BOX WITH CUTLERY RETROSPOT,PACK OF 6 SKULL PAPER CUPS,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN WOODLAND ANIMALS,RED RETROSPOT MINI CASES,RED TOADSTOOL LED NIGHT LIGHT,SET OF 2 TEA TOWELS APPLE AND PEARS,SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER CUPS,SPACEBOY BIRTHDAY CARD,STRAWBERRY LUNCH BOX WITH CUTLERY"
UCI-FRANCE-540178,"4 TRADITIONAL SPINNING TOPS,GUMBALL COAT RACK,JAM MAKING SET PRINTED,LUNCH BOX WITH CUTLERY RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN WOODLAND ANIMALS,RED RETROSPOT CHILDRENS UMBRELLA,RED RETROSPOT CUP,SET OF 2 TEA TOWELS APPLE AND PEARS,SET/6 RED SPOTTY PAPER CUPS,TABLECLOTH RED APPLES DESIGN,TEA PARTY BIRTHDAY CARD"
